節氣	西元	月	日	時	分	秒
大寒	2024	1	20	22	7	3
立春	2024	2	4	16	26	50
雨水	2024	2	19	12	12	53
驚蟄	2024	3	5	10	22	29
春分	2024	3	20	11	6	7
清明	2024	4	4	15	2	0
榖雨	2024	4	19	21	59	28
立夏	2024	5	5	8	9	47
小滿	2024	5	20	20	59	13
芒種	2024	6	5	12	9	36
夏至	2024	6	21	4	50	42
小暑	2024	7	6	22	19	45
大暑	2024	7	22	15	44	7
立秋	2024	8	7	8	8	58
處暑	2024	8	22	22	54	45
白露	2024	9	7	11	11	2
秋分	2024	9	22	20	43	21
寒露	2024	10	8	2	59	39
霜降	2024	10	23	6	14	26
立冬	2024	11	7	6	19	46
小雪	2024	11	22	3	56	11
大雪	2024	12	6	23	16	44
冬至	2024	12	21	17	20	16
小寒	2025	1	5	10	32	28
大寒	2025	1	20	3	59	49
立春	2025	2	3	22	10	9
雨水	2025	2	18	18	6	16
驚蟄	2025	3	5	16	6	57
春分	2025	3	20	17	1	10
清明	2025	4	4	20	48	15
榖雨	2025	4	20	3	55	42
立夏	2025	5	5	13	56	52
小滿	2025	5	21	2	54	19
芒種	2025	6	5	17	56	12
夏至	2025	6	21	10	41	56
小暑	2025	7	7	4	4	40
大暑	2025	7	22	21	29	8
立秋	2025	8	7	13	51	15
處暑	2025	8	23	4	33	32
白露	2025	9	7	16	51	37
秋分	2025	9	23	2	19	1
寒露	2025	10	8	8	40	52
霜降	2025	10	23	11	50	36
立冬	2025	11	7	12	3	43
小雪	2025	11	22	9	35	15
大雪	2025	12	7	5	4	15
冬至	2025	12	21	23	2	45
小寒	2026	1	5	16	22	50
大寒	2026	1	20	9	44	36
立春	2026	2	4	4	1	48
雨水	2026	2	18	23	51	35
驚蟄	2026	3	5	21	58	39
春分	2026	3	20	22	45	37
清明	2026	4	5	2	39	39
榖雨	2026	4	20	9	38	46
立夏	2026	5	5	19	48	23
小滿	2026	5	21	8	36	24
芒種	2026	6	5	23	48	1
夏至	2026	6	21	16	24	10
小暑	2026	7	7	9	56	37
大暑	2026	7	23	3	12	44
立秋	2026	8	7	19	42	24
處暑	2026	8	23	10	18	27
白露	2026	9	7	22	40	56
秋分	2026	9	23	8	4	52
寒露	2026	10	8	14	28	56
霜降	2026	10	23	17	37	35
立冬	2026	11	7	17	51	43
小雪	2026	11	22	15	23	0
大雪	2026	12	7	10	52	10
冬至	2026	12	22	4	49	53
小寒	2027	1	5	22	9	37
大寒	2027	1	20	15	29	30
立春	2027	2	4	9	45	57
雨水	2027	2	19	5	33	7
驚蟄	2027	3	6	3	39	10
春分	2027	3	21	4	24	20
清明	2027	4	5	8	17	8
榖雨	2027	4	20	15	17	16
立夏	2027	5	6	1	24	50
小滿	2027	5	21	14	17	53
芒種	2027	6	6	5	25	26
夏至	2027	6	21	22	10	28
小暑	2027	7	7	15	36	42
大暑	2027	7	23	9	4	18
立秋	2027	8	8	1	26	24
處暑	2027	8	23	16	13	57
白露	2027	9	8	4	28	4
秋分	2027	9	23	14	1	21
寒露	2027	10	8	20	16	42
霜降	2027	10	23	23	32	30
立冬	2027	11	7	23	38	11
小雪	2027	11	22	21	15	51
大雪	2027	12	7	16	37	18
冬至	2027	12	22	10	41	47
小寒	2028	1	6	3	54	16
大寒	2028	1	20	21	21	33
立春	2028	2	4	15	30	52
雨水	2028	2	19	11	25	39
驚蟄	2028	3	5	9	24	26
春分	2028	3	20	10	16	46
清明	2028	4	4	14	2	42
榖雨	2028	4	19	21	9	6
立夏	2028	5	5	7	11	48
小滿	2028	5	20	20	9	25
芒種	2028	6	5	11	15	37
夏至	2028	6	21	4	1	37
小暑	2028	7	6	21	29	55
大暑	2028	7	22	14	53	36
立秋	2028	8	7	7	20	46
處暑	2028	8	22	22	0	32
白露	2028	9	7	10	21	45
秋分	2028	9	22	19	44	55
寒露	2028	10	8	2	8	7
霜降	2028	10	23	5	12	59
立冬	2028	11	7	5	26	52
小雪	2028	11	22	2	53	59
大雪	2028	12	6	22	24	16
冬至	2028	12	21	16	19	16
小寒	2029	1	5	9	41	31
大寒	2029	1	20	3	0	29
立春	2029	2	3	21	20	22
雨水	2029	2	18	17	7	32
驚蟄	2029	3	5	15	17	12
春分	2029	3	20	16	1	35
清明	2029	4	4	19	57	58
榖雨	2029	4	20	2	55	18
立夏	2029	5	5	13	7	21
小滿	2029	5	21	1	55	28
芒種	2029	6	5	17	9	34
夏至	2029	6	21	9	47	53
小暑	2029	7	7	3	22	0
大暑	2029	7	22	20	41	41
立秋	2029	8	7	13	11	20
處暑	2029	8	23	3	51	12
白露	2029	9	7	16	11	28
秋分	2029	9	23	1	38	5
寒露	2029	10	8	7	57	42
霜降	2029	10	23	11	7	43
立冬	2029	11	7	11	16	20
小雪	2029	11	22	8	48	58
大雪	2029	12	7	4	13	23
冬至	2029	12	21	22	13	41
小寒	2030	1	5	15	30	9
大寒	2030	1	20	8	53	58
立春	2030	2	4	3	8	3
雨水	2030	2	18	22	59	31
驚蟄	2030	3	5	21	2	53
春分	2030	3	20	21	51	40
清明	2030	4	5	1	40	35
榖雨	2030	4	20	8	43	10
立夏	2030	5	5	18	45	53
小滿	2030	5	21	7	40	40
芒種	2030	6	5	22	44	4
夏至	2030	6	21	15	30	53
小暑	2030	7	7	8	55	3
大暑	2030	7	23	2	24	28
立秋	2030	8	7	18	46	54
處暑	2030	8	23	9	35	58
白露	2030	9	7	21	52	24
秋分	2030	9	23	7	26	27
寒露	2030	10	8	13	44	50
霜降	2030	10	23	17	0	8
立冬	2030	11	7	17	8	18
小雪	2030	11	22	14	44	10
大雪	2030	12	7	10	7	11
冬至	2030	12	22	4	9	12
小寒	2031	1	5	21	22	42
大寒	2031	1	20	14	47	32
立春	2031	2	4	8	57	52
雨水	2031	2	19	4	50	29
驚蟄	2031	3	6	2	50	35
春分	2031	3	21	3	40	32
清明	2031	4	5	7	27	56
榖雨	2031	4	20	14	30	47
立夏	2031	5	6	0	34	44
小滿	2031	5	21	13	27	28
芒種	2031	6	6	4	35	14
夏至	2031	6	21	21	16	41
小暑	2031	7	7	14	48	24
大暑	2031	7	23	8	10	1
立秋	2031	8	8	0	42	29
處暑	2031	8	23	15	22	52
白露	2031	9	8	3	49	42
秋分	2031	9	23	13	14	51
寒露	2031	10	8	19	42	30
霜降	2031	10	23	22	49	0
立冬	2031	11	7	23	5	13
小雪	2031	11	22	20	32	10
大雪	2031	12	7	16	2	26
冬至	2031	12	22	9	55	6
小寒	2032	1	6	3	15	38
大寒	2032	1	20	20	30	50
立春	2032	2	4	14	48	29
雨水	2032	2	19	10	31	45
驚蟄	2032	3	5	8	39	45
春分	2032	3	20	9	21	26
清明	2032	4	4	13	17	8
榖雨	2032	4	19	20	13	40
立夏	2032	5	5	6	25	24
小滿	2032	5	20	19	14	32
芒種	2032	6	5	10	27	31
夏至	2032	6	21	3	8	18
小暑	2032	7	6	20	40	26
大暑	2032	7	22	14	4	16
立秋	2032	8	7	6	32	14
處暑	2032	8	22	21	17	52
白露	2032	9	7	9	37	25
秋分	2032	9	22	19	10	24
寒露	2032	10	8	1	29	55
霜降	2032	10	23	4	45	45
立冬	2032	11	7	4	53	47
小雪	2032	11	22	2	30	43
大雪	2032	12	6	21	52	51
冬至	2032	12	21	15	55	28
小寒	2033	1	5	9	7	38
大寒	2033	1	20	2	32	18
立春	2033	2	3	20	41	7
雨水	2033	2	18	16	33	20
驚蟄	2033	3	5	14	31	51
春分	2033	3	20	15	22	14
清明	2033	4	4	19	7	38
榖雨	2033	4	20	2	12	38
立夏	2033	5	5	12	13	17
小滿	2033	5	21	1	10	29
芒種	2033	6	5	16	12	57
夏至	2033	6	21	9	0	39
小暑	2033	7	7	2	24	28
大暑	2033	7	22	19	52	19
立秋	2033	8	7	12	15	15
處暑	2033	8	23	3	1	21
白露	2033	9	7	15	19	52
秋分	2033	9	23	0	51	11
寒露	2033	10	8	7	13	26
霜降	2033	10	23	10	27	7
立冬	2033	11	7	10	40	35
小雪	2033	11	22	8	15	40
大雪	2033	12	7	3	44	26
冬至	2033	12	21	21	45	30
小寒	2034	1	5	15	4	1
大寒	2034	1	20	8	26	47
立春	2034	2	4	2	40	40
雨水	2034	2	18	22	29	41
驚蟄	2034	3	5	20	31	53
春分	2034	3	20	21	17	0
清明	2034	4	5	1	5	44
榖雨	2034	4	20	8	3	13
立夏	2034	5	5	18	8	39
小滿	2034	5	21	6	56	23
芒種	2034	6	5	22	6	10
夏至	2034	6	21	14	43	41
小暑	2034	7	7	8	17	7
大暑	2034	7	23	1	35	50
立秋	2034	8	7	18	8	35
處暑	2034	8	23	8	47	15
白露	2034	9	7	21	13	29
秋分	2034	9	23	6	39	3
寒露	2034	10	8	13	6	36
霜降	2034	10	23	16	15	56
立冬	2034	11	7	16	33	9
小雪	2034	11	22	14	4	27
大雪	2034	12	7	9	36	18
冬至	2034	12	22	3	33	29
小寒	2035	1	5	20	55	12
大寒	2035	1	20	14	13	45
立春	2035	2	4	8	31	3
雨水	2035	2	19	4	15	39
驚蟄	2035	3	6	2	21	7
春分	2035	3	21	3	2	12
清明	2035	4	5	6	53	20
榖雨	2035	4	20	13	48	28
立夏	2035	5	5	23	54	25
小滿	2035	5	21	12	42	56
芒種	2035	6	6	3	50	18
夏至	2035	6	21	20	32	36
小暑	2035	7	7	14	0	38
大暑	2035	7	23	7	28	9
立秋	2035	8	7	23	53	49
處暑	2035	8	23	14	43	38
白露	2035	9	8	3	1	58
秋分	2035	9	23	12	38	24
寒露	2035	10	8	18	57	8
霜降	2035	10	23	22	15	37
立冬	2035	11	7	22	23	18
小雪	2035	11	22	20	2	40
大雪	2035	12	7	15	24	58
冬至	2035	12	22	9	30	20
小寒	2036	1	6	2	42	58
大寒	2036	1	20	20	10	30
立春	2036	2	4	14	19	23
雨水	2036	2	19	10	13	45
驚蟄	2036	3	5	8	11	17
春分	2036	3	20	9	2	17
清明	2036	4	4	12	45	43
榖雨	2036	4	19	19	49	57
立夏	2036	5	5	5	48	51
小滿	2036	5	20	18	44	20
芒種	2036	6	5	9	46	27
夏至	2036	6	21	2	31	41
小暑	2036	7	6	19	56	59
大暑	2036	7	22	13	22	7
立秋	2036	8	7	5	48	22
處暑	2036	8	22	20	31	51
白露	2036	9	7	8	54	25
秋分	2036	9	22	18	22	46
寒露	2036	10	8	0	48	24
霜降	2036	10	23	3	58	17
立冬	2036	11	7	4	14	5
小雪	2036	11	22	1	44	44
大雪	2036	12	6	21	15	28
冬至	2036	12	21	15	12	19
小寒	2037	1	5	8	33	30
大寒	2037	1	20	1	53	11
立春	2037	2	3	20	11	4
雨水	2037	2	18	15	58	21
驚蟄	2037	3	5	14	5	37
春分	2037	3	20	14	49	42
清明	2037	4	4	18	43	28
榖雨	2037	4	20	1	39	45
立夏	2037	5	5	11	48	54
小滿	2037	5	21	0	34	54
芒種	2037	6	5	15	46	17
夏至	2037	6	21	8	21	52
小暑	2037	7	7	1	54	35
大暑	2037	7	22	19	12	2
立秋	2037	8	7	11	42	28
處暑	2037	8	23	2	21	27
白露	2037	9	7	14	45	0
秋分	2037	9	23	0	12	31
寒露	2037	10	8	6	37	16
霜降	2037	10	23	9	49	18
立冬	2037	11	7	10	3	30
小雪	2037	11	22	7	37	49
大雪	2037	12	7	3	6	43
冬至	2037	12	21	21	7	10
小寒	2038	1	5	14	26	14
大寒	2038	1	20	7	48	17
立春	2038	2	4	2	3	13
雨水	2038	2	18	21	51	33
驚蟄	2038	3	5	19	54	55
春分	2038	3	20	20	40	3
清明	2038	4	5	0	28	53
榖雨	2038	4	20	7	27	57
立夏	2038	5	5	17	30	37
小滿	2038	5	21	6	22	7
芒種	2038	6	5	21	25	3
夏至	2038	6	21	14	8	48
小暑	2038	7	7	7	31	56
大暑	2038	7	23	0	59	19
立秋	2038	8	7	17	20	43
處暑	2038	8	23	8	9	33
白露	2038	9	7	20	25	42
秋分	2038	9	23	6	1	41
寒露	2038	10	8	12	21	0
霜降	2038	10	23	15	40	6
立冬	2038	11	7	15	50	16
小雪	2038	11	22	13	30	44
大雪	2038	12	7	8	55	47
冬至	2038	12	22	3	1	44
小寒	2039	1	5	20	16	4
大寒	2039	1	20	13	43	5
立春	2039	2	4	7	52	19
雨水	2039	2	19	3	45	9
驚蟄	2039	3	6	1	42	27
春分	2039	3	21	2	31	26
清明	2039	4	5	6	15	12
榖雨	2039	4	20	13	17	11
立夏	2039	5	5	23	17	33
小滿	2039	5	21	12	10	17
芒種	2039	6	6	3	14	53
夏至	2039	6	21	19	56	49
小暑	2039	7	7	13	25	33
大暑	2039	7	23	6	47	34
立秋	2039	8	7	23	17	29
處暑	2039	8	23	13	58	3
白露	2039	9	8	2	23	26
秋分	2039	9	23	11	49	0
寒露	2039	10	8	18	16	41
霜降	2039	10	23	21	24	27
立冬	2039	11	7	21	42	18
小雪	2039	11	22	19	11	35
大雪	2039	12	7	14	44	29
冬至	2039	12	22	8	39	59
小寒	2040	1	6	2	2	59
大寒	2040	1	20	19	20	26
立春	2040	2	4	13	39	16
雨水	2040	2	19	9	23	12
驚蟄	2040	3	5	7	30	37
春分	2040	3	20	8	11	5
清明	2040	4	4	12	4	54
榖雨	2040	4	19	18	58	57
立夏	2040	5	5	5	8	44
小滿	2040	5	20	17	55	7
芒種	2040	6	5	9	7	25
夏至	2040	6	21	1	45	46
小暑	2040	7	6	19	18	37
大暑	2040	7	22	12	40	12
立秋	2040	8	7	5	9	26
處暑	2040	8	22	19	52	42
白露	2040	9	7	8	13	29
秋分	2040	9	22	17	44	17
寒露	2040	10	8	0	4	54
霜降	2040	10	23	3	19	7
立冬	2040	11	7	3	28	40
小雪	2040	11	22	1	4	53
大雪	2040	12	6	20	29	25
冬至	2040	12	21	14	32	13
小寒	2041	1	5	7	47	30
大寒	2041	1	20	1	12	40
立春	2041	2	3	19	24	31
雨水	2041	2	18	15	16	39
驚蟄	2041	3	5	13	17	12
春分	2041	3	20	14	6	11
清明	2041	4	4	17	51	58
榖雨	2041	4	20	0	54	18
立夏	2041	5	5	10	53	52
小滿	2041	5	20	23	48	12
芒種	2041	6	5	14	49	8
夏至	2041	6	21	7	35	14
小暑	2041	7	7	0	57	52
大暑	2041	7	22	18	26	2
立秋	2041	8	7	10	48	3
處暑	2041	8	23	1	35	37
白露	2041	9	7	13	52	56
秋分	2041	9	22	23	25	55
寒露	2041	10	8	5	46	20
霜降	2041	10	23	9	1	19
立冬	2041	11	7	9	12	28
小雪	2041	11	22	6	48	40
大雪	2041	12	7	2	15	9
冬至	2041	12	21	20	17	41
小寒	2042	1	5	13	34	30
大寒	2042	1	20	6	59	25
立春	2042	2	4	1	12	13
雨水	2042	2	18	21	3	51
驚蟄	2042	3	5	19	5	9
春分	2042	3	20	19	52	40
清明	2042	4	4	23	40	0
榖雨	2042	4	20	6	39	7
立夏	2042	5	5	16	42	11
小滿	2042	5	21	5	30	36
芒種	2042	6	5	20	37	34
夏至	2042	6	21	13	15	11
小暑	2042	7	7	6	46	38
大暑	2042	7	23	0	5	41
立秋	2042	8	7	16	38	9
處暑	2042	8	23	7	17	28
白露	2042	9	7	19	44	48
秋分	2042	9	23	5	10	54
寒露	2042	10	8	11	39	54
霜降	2042	10	23	14	48	54
立冬	2042	11	7	15	6	59
小雪	2042	11	22	12	36	43
大雪	2042	12	7	8	8	34
冬至	2042	12	22	2	3	25
小寒	2043	1	5	19	24	42
大寒	2043	1	20	12	40	56
立春	2043	2	4	6	58	7
雨水	2043	2	19	2	41	1
驚蟄	2043	3	6	0	47	8
春分	2043	3	21	1	27	8
清明	2043	4	5	5	19	36
榖雨	2043	4	20	12	13	47
立夏	2043	5	5	22	21	24
小滿	2043	5	21	11	8	29
芒種	2043	6	6	2	17	30
夏至	2043	6	21	18	57	42
小暑	2043	7	7	12	27	11
大暑	2043	7	23	5	52	47
立秋	2043	8	7	22	20	6
處暑	2043	8	23	13	9	7
白露	2043	9	8	1	29	31
秋分	2043	9	23	11	6	16
寒露	2043	10	8	17	27	3
霜降	2043	10	23	20	46	8
立冬	2043	11	7	20	55	10
小雪	2043	11	22	18	34	23
大雪	2043	12	7	13	56	42
冬至	2043	12	22	8	0	34
小寒	2044	1	6	1	11	51
大寒	2044	1	20	18	36	46
立春	2044	2	4	12	43	37
雨水	2044	2	19	8	35	8
驚蟄	2044	3	5	6	30	55
春分	2044	3	20	7	19	53
清明	2044	4	4	11	2	24
榖雨	2044	4	19	18	6	3
立夏	2044	5	5	4	4	47
小滿	2044	5	20	17	1	12
芒種	2044	6	5	8	3	19
夏至	2044	6	21	0	50	28
小暑	2044	7	6	18	15	14
大暑	2044	7	22	11	42	41
立秋	2044	8	7	4	7	55
處暑	2044	8	22	18	53	59
白露	2044	9	7	7	15	50
秋分	2044	9	22	16	47	11
寒露	2044	10	7	23	12	36
霜降	2044	10	23	2	25	37
立冬	2044	11	7	2	41	18
小雪	2044	11	22	0	14	37
大雪	2044	12	6	19	44	31
冬至	2044	12	21	13	42	55
小寒	2045	1	5	7	1	50
大寒	2045	1	20	0	21	32
立春	2045	2	3	18	35	36
雨水	2045	2	18	14	21	41
驚蟄	2045	3	5	12	24	21
春分	2045	3	20	13	6	57
清明	2045	4	4	16	56	36
榖雨	2045	4	19	23	52	11
立夏	2045	5	5	9	58	49
小滿	2045	5	20	22	45	18
芒種	2045	6	5	13	56	20
夏至	2045	6	21	6	33	13
小暑	2045	7	7	0	7	24
大暑	2045	7	22	17	26	7
立秋	2045	8	7	9	59	0
處暑	2045	8	23	0	38	29
白露	2045	9	7	13	4	47
秋分	2045	9	22	22	32	14
寒露	2045	10	8	4	59	58
霜降	2045	10	23	8	11	50
立冬	2045	11	7	8	29	10
小雪	2045	11	22	6	3	9
大雪	2045	12	7	1	34	53
冬至	2045	12	21	19	34	26
小寒	2046	1	5	12	55	18
大寒	2046	1	20	6	15	12
立春	2046	2	4	0	30	24
雨水	2046	2	18	20	14	56
驚蟄	2046	3	5	18	17	5
春分	2046	3	20	18	57	10
清明	2046	4	4	22	44	15
榖雨	2046	4	20	5	38	14
立夏	2046	5	5	15	39	59
小滿	2046	5	21	4	27	47
芒種	2046	6	5	19	31	33
夏至	2046	6	21	12	13	57
小暑	2046	7	7	5	39	36
大暑	2046	7	22	23	8	0
立秋	2046	8	7	15	32	38
處暑	2046	8	23	6	23	50
白露	2046	9	7	18	42	35
秋分	2046	9	23	4	21	2
寒露	2046	10	8	10	41	42
霜降	2046	10	23	14	2	52
立冬	2046	11	7	14	13	27
小雪	2046	11	22	11	55	35
大雪	2046	12	7	7	20	36
冬至	2046	12	22	1	27	47
小寒	2047	1	5	18	41	41
大寒	2047	1	20	12	9	15
立春	2047	2	4	6	17	20
雨水	2047	2	19	2	9	41
驚蟄	2047	3	6	0	4	36
春分	2047	3	21	0	51	58
清明	2047	4	5	4	32	0
榖雨	2047	4	20	11	31	50
立夏	2047	5	5	21	27	49
小滿	2047	5	21	10	19	13
芒種	2047	6	6	1	20	10
夏至	2047	6	21	18	2	47
小暑	2047	7	7	11	29	47
大暑	2047	7	23	4	54	47
立秋	2047	8	7	21	25	11
處暑	2047	8	23	12	10	10
白露	2047	9	8	0	37	28
秋分	2047	9	23	10	7	23
寒露	2047	10	8	16	36	59
霜降	2047	10	23	19	47	51
立冬	2047	11	7	20	6	38
小雪	2047	11	22	17	37	34
大雪	2047	12	7	13	10	19
冬至	2047	12	22	7	6	32
小寒	2048	1	6	0	28	40
大寒	2048	1	20	17	46	24
立春	2048	2	4	12	3	54
雨水	2048	2	19	7	47	48
驚蟄	2048	3	5	5	53	24
春分	2048	3	20	6	33	8
清明	2048	4	4	10	24	33
榖雨	2048	4	19	17	16	44
立夏	2048	5	5	3	23	47
小滿	2048	5	20	16	7	20
芒種	2048	6	5	7	17	35
夏至	2048	6	20	23	53	13
小暑	2048	7	6	17	26	5
大暑	2048	7	22	10	46	14
立秋	2048	8	7	3	18	8
處暑	2048	8	22	18	1	48
白露	2048	9	7	6	27	22
秋分	2048	9	22	15	59	56
寒露	2048	10	7	22	26	0
霜降	2048	10	23	1	42	1
立冬	2048	11	7	1	56	7
小雪	2048	11	21	23	32	47
大雪	2048	12	6	19	0	6
冬至	2048	12	21	13	1	33
小寒	2049	1	5	6	18	0
大寒	2049	1	19	23	40	30
立春	2049	2	3	17	52	40
雨水	2049	2	18	13	41	34
驚蟄	2049	3	5	11	42	13
春分	2049	3	20	12	27	54
清明	2049	4	4	16	13	40
榖雨	2049	4	19	23	12	45
立夏	2049	5	5	9	11	55
小滿	2049	5	20	22	3	5
芒種	2049	6	5	13	3	1
夏至	2049	6	21	5	46	36
小暑	2049	7	6	23	8	6
大暑	2049	7	22	16	35	35
立秋	2049	8	7	8	57	12
處暑	2049	8	22	23	46	37
白露	2049	9	7	12	4	49
秋分	2049	9	22	21	41	53
寒露	2049	10	8	4	4	18
霜降	2049	10	23	7	24	28
立冬	2049	11	7	7	37	41
小雪	2049	11	22	5	18	35
大雪	2049	12	7	0	45	56
冬至	2049	12	21	18	51	27
小寒	2050	1	5	12	7	10
大寒	2050	1	20	5	33	5
立春	2050	2	3	23	43	3
雨水	2050	2	18	19	34	22
驚蟄	2050	3	5	17	31	57
春分	2050	3	20	18	18	52
清明	2050	4	4	22	2	29
榖雨	2050	4	20	5	1	28
立夏	2050	5	5	15	1	14
小滿	2050	5	21	3	50	7
芒種	2050	6	5	18	54	6
夏至	2050	6	21	11	32	18
小暑	2050	7	7	5	1	10
大暑	2050	7	22	22	20	41
立秋	2050	8	7	14	51	46
處暑	2050	8	23	5	31	57
白露	2050	9	7	17	59	55
秋分	2050	9	23	3	27	48
寒露	2050	10	8	9	59	26
霜降	2050	10	23	13	11	7
立冬	2050	11	7	13	32	57
小雪	2050	11	22	11	5	36
大雪	2050	12	7	6	41	4
冬至	2050	12	22	0	37	59
小寒	2051	1	5	18	1	29
大寒	2051	1	20	11	18	4
立春	2051	2	4	5	35	24
雨水	2051	2	19	1	16	43
驚蜇	2051	3	5	23	21	20
春分	2051	3	20	23	58	27
清明	2051	4	5	3	48	58
榖雨	2051	4	20	10	39	56
立夏	2051	5	5	20	46	24
小滿	2051	5	21	9	30	42
芒種	2051	6	6	0	39	59
夏至	2051	6	21	17	17	56
小暑	2051	7	7	10	48	44
大暑	2051	7	23	4	12	14
立秋	2051	8	7	20	41	7
處暑	2051	8	23	11	28	26
白露	2051	9	7	23	50	36
秋分	2051	9	23	9	26	39
寒露	2051	10	8	15	49	45
霜降	2051	10	23	19	9	22
立冬	2051	11	7	19	21	25
小雪	2051	11	22	17	2	8
大雪	2051	12	7	12	27	55
冬至	2051	12	22	6	33	25
小寒	2052	1	5	23	47	50
大寒	2052	1	20	17	13	30
立春	2052	2	4	11	22	14
雨水	2052	2	19	7	12	55
驚蜇	2052	3	5	5	8	49
春分	2052	3	20	5	55	23
清明	2052	4	4	9	36	36
榖雨	2052	4	19	16	37	14
立夏	2052	5	5	2	34	5
小滿	2052	5	20	15	28	17
芒種	2052	6	5	6	28	45
夏至	2052	6	20	23	15	30
小暑	2052	7	6	16	39	16
大暑	2052	7	22	10	8	9
立秋	2052	8	7	2	32	31
處暑	2052	8	22	17	20	46
白露	2052	9	7	5	41	25
秋分	2052	9	22	15	14	59
寒露	2052	10	7	21	39	6
霜降	2052	10	23	0	54	28
立冬	2052	11	7	1	9	9
小雪	2052	11	21	22	45	17
大雪	2052	12	6	18	14	47
冬至	2052	12	21	12	16	30
小寒	2053	1	5	5	35	24
大寒	2053	1	19	22	58	31
立春	2053	2	3	17	12	20
雨水	2053	2	18	13	1	11
驚蜇	2053	3	5	11	2	35
春分	2053	3	20	11	46	40
清明	2053	4	4	15	33	47
榖雨	2053	4	19	22	29	33
立夏	2053	5	5	8	32	52
小滿	2053	5	20	21	18	50
芒種	2053	6	5	12	26	55
夏至	2053	6	21	5	3	25
小暑	2053	7	6	22	36	25
大暑	2053	7	22	15	55	29
立秋	2053	8	7	8	29	17
處暑	2053	8	22	23	9	32
白露	2053	9	7	11	37	55
秋分	2053	9	22	21	5	35
寒露	2053	10	8	3	35	23
霜降	2053	10	23	6	46	32
立冬	2053	11	7	7	5	27
小雪	2053	11	22	4	38	4
大雪	2053	12	7	0	11	9
冬至	2053	12	21	18	9	13
小寒	2054	1	5	11	31	35
大寒	2054	1	20	4	50	18
立春	2054	2	3	23	7	13
雨水	2054	2	18	18	50	52
驚蜇	2054	3	5	16	54	49
春分	2054	3	20	17	33	46
清明	2054	4	4	21	22	21
榖雨	2054	4	20	4	14	23
立夏	2054	5	5	14	17	8
小滿	2054	5	21	3	2	17
芒種	2054	6	5	18	6	46
夏至	2054	6	21	10	46	29
小暑	2054	7	7	4	13	4
大暑	2054	7	22	21	39	55
立秋	2054	8	7	14	6	16
處暑	2054	8	23	4	57	44
白露	2054	9	7	17	18	51
秋分	2054	9	23	2	58	48
寒露	2054	10	8	9	21	30
霜降	2054	10	23	12	44	9
立冬	2054	11	7	12	55	35
小雪	2054	11	22	10	38	11
大雪	2054	12	7	6	2	43
冬至	2054	12	22	0	9	16
小寒	2055	1	5	17	21	52
大寒	2055	1	20	10	48	19
立春	2055	2	4	4	55	6
雨水	2055	2	19	0	46	37
驚蜇	2055	3	5	22	40	45
春分	2055	3	20	23	27	56
清明	2055	4	5	3	7	33
